"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",52.6429861323032,2.10842188855374,273.601907186934,24.9679565641453,1.64685521957886e-72
"MismTreat_noNeg",-2.50574510068488,0.269037985933755,330.950369563025,-9.31372234291806,1.77464735725522e-18
"PhotoTreatConstant",3.30144466120326,1.14401690315243,330.084280810313,2.88583556073854,0.00416073917664726
