"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",6.07084171700398,0.577612749640646,10.5102280390813,7.7505909390298e-26
"MismTreat1",-1.69792858828054,0.1912183534589,-8.87952729205721,6.71450898624283e-19
"MismTreat2",0.111534432785736,0.0148060388203294,7.53303663047225,4.95736971073587e-14
"PhotoTreatConstant",-0.0859901325795764,0.163810385154158,-0.524937002612217,0.599626985336954
