"","npar","AIC","LRT","Pr(Chi)","mod"
"<none>",NA,1029.49235787463,NA,NA,"glm1"
"MismTreat1:PhotoTreat",1,1027.70269496583,0.21033709119456,0.646503323626226,"glm1"
"MismTreat2:PhotoTreat",1,1027.6126905675,0.120332692868715,0.728673937088418,"glm1"
"<none>1",NA,1026.06565314953,NA,NA,"glm2"
"MismTreat1",1,1143.20597330678,119.14032015725,9.75769269507712e-28,"glm2"
"MismTreat2",1,1096.01132990035,71.9456767508204,2.21203873478849e-17,"glm2"
"PhotoTreat",1,1024.33908617142,0.27343302189729,0.601038113847116,"glm2"
